obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 7.0, 244593, 64498, 5792, 9035, 5636, 4625, 832, 462, NA, NA, NA, 335473,  N*
2, 9.0, 785597, 148313, 37121, 75944, 46688, 34010, 11386, 2908, NA, NA, NA, 1141967,  N*
3, 11.9, 1050998, 151277, 35607, 8071, 75700, 46315, 4932, 6568, 78, 41, NA, 1379468,  N*
4, 12.9, 364718, 70860, 26890, 7301, 12583, 8823, 10912, 2622, 78, 29, NA, 504709,  N*
5, 14.9, 1023395, 24326, 55, 9593, 5430, 6519, 3400, 619, 80, 13, NA, 1073337,  N*
6, 17.9, 841951, 51798, 3118, 23798, 15865, 8048, 9787, 2779, 48, 16, NA, 957144,  N*
7, 19.9, 466470, 119918, 11596, 2932, 4609, 7333, 6865, 3405, 80, 10, NA, 623128,  N*
8, 20.9, 373535, 240810, 65091, 57509, 50173, 42146, 24150, 4364, 66, 23, NA, 857778,  N*
9, 22.9, 1803744, 1134453, 126311, 262659, 56377, 85589, 208802, 22172, 50, 26, NA, 3700107,  N*
10, 23.9, 913230, 148732, 9002, 10424, 13684, 19597, 15108, 3353, 78, 20, NA, 1133130,  N*
11, 25.9, 438186, 285914, 53212, 32804, 24268, 19660, 24610, 18931, 63, 14, NA, 897585,  N*
12, 26.9, 1861485, 115223, 29895, 60145, 7182, 35154, 14397, 7844, 48, 4, NA, 2131325,  N*
13, 28.9, 69431, 70666, 13826, 8307, 7923, 7288, 5360, 2701, 44, 14, NA, 185502,  N*
14, 29.9, 116024, 40341, 2487, 5983, 3158, 4281, 4343, 2404, 51, 16, NA, 179021,  N*
15, 31.9, 655823, 73296, 22967, 57664, 81807, 101400, 27215, 4592, 66, 11, NA, 1024764,  N*
16, 32.9, 1685443, 259742, 78099, 37446, 44342, 20687, 43548, 9199, 78, 41, NA, 2178506,  N*
