obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 465952, 143253, 41751, 19096, 51568, 42835, 19409, 11097, NA, NA, NA, 794961,  A*
2, 7.0, 943878, 154558, 33072, 64142, 19129, 20433, 8105, 5581, NA, NA, NA, 1248898,  A*
3, 9.0, 591352, 54348, 15894, 59365, 25592, 17566, 4499, 2632, 47, 51, NA, 771248,  A*
4, 10.0, 1852163, 122206, 3045, 34241, 22824, 19490, 5434, 9228, 67, 30, NA, 2068631,  A*
5, 12.0, 521511, 14514, 10696, 11077, 11556, 15103, 5900, 3257, 90, 35, NA, 593614,  A*
6, 13.0, 83610, 39736, 2151, 7423, 2001, 3042, 2226, 1053, 83, 11, NA, 141242,  A*
7, 14.9, 83960, 13908, 5560, 1216, 2187, 2759, 6253, 3111, 83, 17, NA, 118954,  A*
8, 17.9, 47887, 84900, 32789, 20521, 25480, 15329, 11698, 5549, 56, 11, NA, 244153,  A*
9, 19.9, 121670, 16516, 2946, 1999, 3529, 3988, 7626, 3878, 93, 41, NA, 162152,  A*
10, 20.9, 184784, 63684, 8687, 7647, 2381, 9772, 2667, 2557, 70, 24, NA, 282179,  A*
11, 22.9, 385284, 173222, 39930, 8004, 33152, 28442, 14819, 4510, 61, 1, NA, 687363,  A*
12, 23.9, 124915, 6287, 544, 847, 1494, 1027, 930, 471, 70, 1, NA, 136515,  A*
13, 25.9, 664243, 51061, 31096, 6206, 11935, 10595, 6951, 2573, 70, 7, NA, 784660,  A*
14, 26.9, 106508, 127644, 41830, 32083, 8414, 29567, 24471, 9785, 66, 29, NA, 380302,  A*
15, 28.9, 109339, 49684, 21153, 8670, 9936, 5538, 4928, 1475, 57, 48, NA, 210723,  A*
16, 29.9, 1239918, 135951, 41509, 30704, 55783, 17045, 8164, 5949, 63, 48, NA, 1535023,  A*
17, 31.9, 782470, 65070, 73591, 12770, 38242, 29394, 17118, 16762, 64, 53, NA, 1035417,  A*
18, 32.9, 74157, 80412, 5258, 4436, 5117, 4768, 4892, 1927, 57, 27, NA, 180967,  A*
19, 34.9, 579602, 376664, 64131, 18266, 15412, 28200, 17638, 9687, 53, 23, NA, 1109600,  A*
20, 37.9, 401327, 22393, 5130, 4773, 2579, 7167, 10157, 826, 66, 24, NA, 454352,  A*
21, 39.9, 933610, 113037, 20749, 31287, 3826, 24046, 22525, 32311, 100, 37, NA, 1181391,  A*
22, 40.8, 668392, 187313, 8658, 3487, 3690, 5222, 6188, 3997, 51, 7, NA, 886947,  A*
23, 42.8, 577561, 556328, 59700, 28926, 4830, 8738, 12767, 2189, 11, 1, NA, 1251039,  A*
24, 43.8, 40664, 3996, 2855, 17122, 13131, 44212, 31533, 7954, 30, 23, NA, 161467,  A*
25, 45.8, 68208, 24852, 18684, 9820, 5742, 2674, 2599, 2169, 35, 56, NA, 134748,  A*
26, 46.8, 218746, 136513, 29229, 48801, 28731, 12249, 12797, 6149, 66, 74, NA, 493215,  A*
27, 48.8, 336743, 46151, 20161, 6427, 6771, 4203, 6512, 2009, 38, 78, NA, 428977,  A*
28, 49.8, 296610, 49460, 5745, 13605, 7483, 31819, 18378, 7768, 35, 56, NA, 430868,  A*
29, 51.8, 101987, 52768, 17693, 3205, 5893, 5390, 1356, 1733, 38, 53, NA, 190025,  A*
30, 52.8, 69512, 27102, 16240, 1917, 2204, 4481, 3990, 6248, 41, 43, NA, 131694,  A*
31, 54.8, 146255, 13567, 2658, 4530, 2018, 6537, 14191, 2743, 37, 50, NA, 192499,  A*
32, 57.8, 1360289, 35327, 2003, 17058, 5462, 9285, 12908, 4649, 34, 57, NA, 1446981,  A*
33, 59.8, 73213, 70981, 8758, 3164, 9205, 12190, 6402, 5043, 37, 44, NA, 188956,  A*
34, 60.8, 80087, 18795, 19415, 6574, 14393, 5310, 3698, 1111, 41, 37, NA, 149383,  A
35, 62.8, 870547, 90184, 10643, 18662, 6436, 16566, 12340, 20964, 44, 37, NA, 1046342,  A
36, 63.8, 96907, 15833, 2415, 2773, 3075, 4890, 6467, 3297, 47, 56, NA, 135657,  A
37, 65.7, 2129701, 227649, 92102, 13809, 17548, 18087, 46010, 10481, 40, 48, NA, 2555387,  A
38, 66.7, 472696, 59690, 10909, 2707, 3782, 14966, 10659, 6824, 43, 34, NA, 582233,  A
39, 68.7, 430407, 96410, 47869, 32090, 42246, 35321, 41339, 16124, 43, 43, NA, 741806,  A
40, 69.7, 192743, 24782, 5122, 3266, 2222, 2784, 2767, 876, 48, 47, NA, 234562,  A
41, 71.7, 74011, 22628, 12136, 1489, 1944, 474, 518, 330, 24, 61, NA, 113530,  A
42, 72.7, 177151, 78585, 8036, 13440, 16140, 7979, 22882, 9495, 7, 61, NA, 333708,  A
43, 74.7, 626281, 451731, 60568, 26881, 23307, 22981, 27668, 42918, 1, 53, NA, 1282335,  A
44, 77.7, 10380, 2409, 5227, 5033, 4568, 13559, 14790, 7480, 44, 40, NA, 63446,  A
45, 79.7, 58183, 39319, 20860, 4826, 15902, 22591, 17325, 5560, 69, 34, NA, 184566,  A
46, 80.7, 1008707, 66829, 23472, 9660, 5230, 9467, 22208, 8145, 27, 40, NA, 1153718,  A
47, 82.7, 98062, 149962, 72914, 10905, 10659, 7072, 28926, 6360, 29, 69, NA, 384860,  A
48, 83.7, 1626238, 184581, 36731, 51860, 39878, 12509, 25781, 19706, 13, 69, NA, 1997284,  A
49, 85.7, 516124, 59899, 10287, 7833, 21213, 13001, 31200, 10487, 16, 57, NA, 670044,  A
50, 86.7, 110895, 101321, 29101, 27299, 21267, 9327, 4319, 1598, 20, 50, NA, 305127,  A
51, 88.7, 3324126, 274239, 57016, 37783, 40568, 23202, 14160, 2607, 21, 47, NA, 3773701,  A
52, 89.7, 13316, 36820, 28100, 19898, 36861, 18276, 9565, 7025, 34, 51, NA, 169861,  A
53, 91.7, 591185, 27475, 3771, 3591, 2277, 2038, 799, 1610, 34, 44, NA, 632746,  A
54, 92.6, 300499, 10035, 757, 3078, 2420, 1859, 2685, 745, 48, 61, NA, 322078,  A
55, 94.7, 232444, 175310, 16395, 7203, 19218, 21819, 11815, 4555, 43, 40, NA, 488759,  A
56, 94.7, 1853542, 184699, 113214, 33313, 38463, 41181, 41614, 16107, 37, 35, NA, 2322133,  A
