obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 260540, 106527, 4244, 16642, 5603, 2898, 2458, 1211, NA, NA, NA, 400123,  T*
2, 7.0, 2183186, 217932, 40595, 22527, 16851, 11384, 5796, 2829, NA, NA, NA, 2501100,  T*
3, 9.0, 219919, 229416, 32771, 17752, 25654, 31325, 11856, 7292, 51, 30, NA, 575985,  T*
4, 10.0, 41382, 24673, 3018, 1979, 1253, 1533, 867, 908, 63, 23, NA, 75613,  T*
5, 11.9, 1578901, 194568, 54965, 51717, 64464, 30321, 22798, 14275, 74, 24, NA, 2012009,  T*
6, 13.0, 70006, 17241, 1613, 3968, 7445, 7742, 2188, 1295, 88, 21, NA, 111498,  T*
7, 14.9, 292504, 37582, 40028, 24805, 55853, 22043, 8318, 5849, 100, 35, NA, 486982,  T*
8, 17.9, 20941, 40424, 15162, 7321, 1826, 9287, 5258, 2220, 100, 27, NA, 102439,  T*
9, 19.9, 28349, 27840, 8926, 14142, 9001, 21070, 3504, 1181, 100, 60, NA, 114013,  T*
10, 20.9, 35121, 12714, 1350, 9054, 10191, 5247, 2531, 4579, 100, 53, NA, 80787,  T*
11, 22.9, 229673, 21198, 5027, 4299, 6237, 5412, 579, 334, 100, 35, NA, 272759,  T*
12, 23.9, 10493, 12705, 12039, 3870, 8185, 8059, 7764, 1378, 100, 43, NA, 64493,  T*
13, 25.9, 18659, 15882, 26656, 7382, 3500, 8445, 1341, 836, 97, 56, NA, 82701,  T*
14, 26.9, 23540, 25026, 1608, 13515, 4602, 4711, 2913, 1389, 96, 66, NA, 77304,  T*
15, 28.9, 8407, 16201, 17705, 2235, 7563, 12462, 3839, 1946, 97, 66, NA, 70358,  T*
16, 29.9, 15287, 25648, 33075, 10995, 5205, 9970, 2426, 3408, 96, 50, NA, 106014,  T*
17, 31.9, 31143, 5766, 4771, 2599, 5890, 4540, 1548, 1906, 100, 51, NA, 58163,  T*
18, 32.9, 71147, 31061, 14407, 7572, 6809, 4631, 2987, 1794, 91, 61, NA, 140408,  T*
19, 34.9, 14989, 31307, 22469, 9804, 6660, 4150, 1210, 2263, 84, 56, NA, 92852,  T*
20, 37.8, 52717, 16038, 11195, 8644, 18541, 7383, 4484, 2455, 74, 60, NA, 121457,  T*
21, 39.8, 5839, 8938, 6649, 2819, 1950, 7347, 5908, 2378, 77, 56, NA, 41828,  T*
22, 40.8, 28590, 20753, 9046, 17302, 4650, 3294, 3541, 972, 77, 56, NA, 88148,  T*
23, 42.8, 79558, 54730, 54867, 7560, 10585, 7978, 2999, 1172, 83, 66, NA, 219449,  T*
24, 43.9, 2387, 12691, 21255, 5509, 3504, 11572, 1974, 3698, 74, 77, NA, 62590,  T*
25, 45.8, 87499, 28606, 4236, 2937, 3206, 2788, 2117, 881, 74, 60, NA, 132270,  T*
26, 46.8, 20859, 24774, 6021, 11464, 4558, 4515, 2833, 2095, 75, 38, NA, 77119,  T*
27, 48.8, 59780, 23026, 15786, 3218, 2163, 2660, 1014, 503, 57, 35, NA, 108150,  T*
28, 49.8, 7488, 14201, 13105, 16394, 4994, 3747, 2641, 1728, 66, 69, NA, 64298,  T*
29, 51.8, 58297, 13449, 3910, 4346, 848, 4272, 670, 642, 74, 69, NA, 86434,  T*
30, 52.8, 6353, 3748, 4961, 6353, 11762, 7269, 1212, 1910, 100, 53, NA, 43568,  T*
31, 54.8, 29007, 60358, 4042, 3947, 5278, 4759, 5527, 2843, 96, 24, NA, 115761,  T*
32, 57.8, 14771, 17590, 3569, 6696, 4242, 6159, 3878, 1154, 100, 29, NA, 58059,  T*
33, 59.8, 5849, 20894, 7073, 8884, 1927, 2901, 2355, 3120, 88, 53, NA, 53003,  T*
34, 60.8, 15320, 29330, 7008, 6264, 4981, 8397, 2776, 615, 96, 44, NA, 74691,  T
35, 62.8, 9401, 14805, 1870, 2360, 5225, 3927, 1770, 1182, 93, 38, NA, 40540,  T
36, 63.8, 9262, 16319, 17984, 1185, 5702, 6911, 3065, 1148, 90, 37, NA, 61576,  T
37, 65.7, 12434, 7802, 17956, 6825, 6049, 8902, 2113, 2711, 91, 50, NA, 64792,  T
38, 66.7, 15818, 16328, 2421, 4006, 12513, 5437, 3516, 2316, 100, 54, NA, 62355,  T
39, 68.7, 52818, 8610, 1844, 7419, 3101, 8934, 3179, 1080, 100, 50, NA, 86985,  T
40, 69.7, 25868, 24265, 7238, 21971, 11360, 6357, 1754, 1135, 100, 44, NA, 99948,  T
41, 71.7, 34847, 61247, 24303, 4195, 10977, 1585, 6933, 2141, 78, 51, NA, 146228,  T
42, 72.7, 17466, 28666, 9106, 6695, 9057, 28504, 4636, 1096, 60, 29, NA, 105226,  T
43, 74.7, 33609, 31338, 17851, 17255, 4988, 4139, 3947, 1716, 51, 34, NA, 114843,  T
44, 77.7, 28456, 82562, 43009, 25060, 13258, 11068, 2963, 1013, 61, 54, NA, 207389,  T
45, 79.7, 115516, 14201, 8450, 4667, 4345, 1675, 595, 286, 51, 69, NA, 149735,  T
46, 80.7, 83866, 8065, 3049, 723, 1831, 1316, 1153, 342, 56, 51, NA, 100345,  T
47, 82.7, 23484, 38935, 47557, 10125, 3506, 8252, 10094, 2330, 61, 54, NA, 144283,  T
48, 83.7, 100491, 30463, 2900, 14400, 4892, 3497, 2154, 1770, 74, 61, NA, 160567,  T
49, 85.7, 122310, 7708, 4097, 2385, 1872, 2134, 1395, 1128, 77, 66, NA, 143029,  T
50, 86.7, 327198, 67076, 11800, 8832, 10444, 2357, 750, 913, 50, 43, NA, 429370,  T
51, 88.7, 16053, 25543, 6730, 14460, 6372, 7395, 4122, 5037, 57, 44, NA, 85712,  T
52, 89.7, 20630, 20765, 9422, 2150, 6095, 7838, 1627, 2721, 56, 40, NA, 71248,  T
53, 91.7, 9134, 5861, 5131, 7115, 7053, 9998, 2598, 1541, 84, 47, NA, 48431,  T
54, 92.7, 195663, 19448, 1042, 1206, 4855, 3138, 855, 645, 88, 20, NA, 226852,  T
55, 94.6, 47450, 33901, 3723, 8506, 24641, 12674, 6107, 5677, 88, 11, NA, 142679,  T
56, 97.6, 95456, 18633, 6184, 2265, 2992, 2594, 1902, 894, 84, 8, NA, 130920,  T
57, 99.6, 33172, 49123, 2586, 2831, 5264, 10336, 3465, 1576, 66, 16, NA, 108353,  T
58, 100.6, 34094, 65166, 7011, 18933, 9192, 17654, 4612, 2433, 69, 26, NA, 159095,  T
59, 102.6, 9108, 5224, 6879, 9195, 7398, 7264, 6123, 1906, 88, 29, NA, 53097,  T
60, 103.6, 136861, 9296, 1913, 510, 1970, 2770, 2086, 545, 70, 29, NA, 155951,  T
61, 105.6, 146993, 35351, 1946, 3252, 3209, 4381, 1972, 944, 66, 20, NA, 198048,  T
62, 106.6, 67766, 17244, 17549, 6607, 8758, 12549, 3312, 3874, 91, 26, NA, 137659,  T
63, 108.6, 24040, 39228, 18193, 4667, 7198, 15960, 6817, 7192, 91, 35, NA, 123295,  T
64, 109.6, 83821, 43054, 19305, 4027, 9116, 6065, 5385, 2790, 57, 40, NA, 173563,  T
65, 111.6, 5014, 6032, 4512, 2510, 934, 5163, 1412, 1512, 61, 40, NA, 27089,  T
66, 112.6, 12860, 8167, 3985, 10005, 20417, 8634, 7174, 5073, 97, 41, NA, 76315,  T
67, 114.6, 109292, 209670, 13117, 37746, 29057, 8690, 7531, 3777, 88, 34, NA, 418880,  T
68, 117.6, 33368, 54430, 32478, 20052, 24045, 8199, 3756, 5742, 40, 37, NA, 182070,  T
69, 119.5, 103761, 19555, 3182, 2935, 1021, 976, 476, 391, 43, 29, NA, 132297,  T
70, 120.5, 903412, 268379, 47301, 107284, 33664, 32544, 17236, 24289, 57, 35, NA, 1434109,  T
71, 122.5, 889961, 62351, 10410, 11668, 15087, 7059, 4163, 6556, 51, 40, NA, 1007255,  T
72, 123.5, 52924, 36731, 3873, 11684, 13621, 17653, 5638, 3304, 64, 40, NA, 145428,  T
73, 125.5, 183753, 67660, 34707, 13245, 3690, 5983, 1839, 753, 60, 43, NA, 311630,  T
74, 126.5, 188882, 98526, 13387, 9213, 6428, 4975, 3718, 951, 50, 17, NA, 326080,  T
75, 126.5, 818026, 68528, 36540, 23622, 23596, 23295, 32437, 29663, 43, 27, NA, 1055707,  T
