obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 6.0, 54489, 20709, 4879, 7044, 7089, 7451, 8545, 5441, NA, NA, NA, 115647,  M*
2, 7.0, 1265321, 33586, 2634, 2305, 9155, 8512, 6309, 4280, NA, NA, NA, 1332102,  M*
3, 8.9, 325404, 56640, 15640, 19145, 7231, 8396, 6480, 2255, 30, 53, NA, 441191,  M*
4, 9.9, 563985, 67344, 17917, 38475, 15466, 17636, 11560, 4357, 14, 91, NA, 736740,  M*
5, 11.9, 1232341, 113204, 21404, 29805, 88424, 46365, 36814, 7406, 24, 93, NA, 1575763,  M*
6, 12.9, 115174, 23445, 16878, 518, 4771, 3724, 2937, 1635, 24, 93, NA, 169082,  M*
7, 14.9, 54730, 49823, 12855, 1969, 8322, 2689, 6718, 1995, 20, 75, NA, 139101,  M*
8, 17.9, 145933, 332205, 43351, 10998, 26483, 73580, 33432, 25313, 7, 54, NA, 691295,  M*
9, 19.9, 507655, 67586, 7353, 29481, 12344, 7085, 13017, 2159, 29, 74, NA, 646680,  M*
10, 20.9, 1062519, 144971, 13089, 10745, 4441, 16458, 16076, 1605, 7, 66, NA, 1269904,  M*
11, 22.9, 182435, 268525, 2479, 37559, 34092, 25768, 9586, 4605, 7, 51, NA, 565049,  M*
12, 23.9, 123021, 60428, 967, 6074, 7290, 5323, 3197, 3244, 11, 34, NA, 209544,  M*
13, 25.9, 1420221, 438060, 96652, 26608, 59385, 25077, 42526, 14044, 17, 26, NA, 2122573,  M*
14, 26.9, 138840, 75656, 32385, 10742, 7761, 5312, 6729, 983, 21, 56, NA, 278408,  M*
15, 28.9, 418785, 42749, 15116, 1055, 5607, 5453, 4722, 858, 23, 70, NA, 494345,  M*
16, 29.9, 27759, 17511, 3654, 10349, 18702, 11988, 12388, 7125, 27, 74, NA, 109476,  M*
17, 31.8, 13095, 21838, 16065, 4754, 32863, 24159, 23732, 7062, 64, 64, NA, 143568,  M*
18, 32.8, 180255, 67280, 11586, 5721, 19151, 9228, 3661, 2622, 63, 64, NA, 299504,  M*
19, 34.8, 34989, 12489, 10894, 21478, 19202, 13867, 13357, 6778, 60, 77, NA, 133054,  M*
20, 37.9, 13904, 17155, 2780, 18310, 8117, 24511, 19645, 1915, 96, 80, NA, 106337,  M*
21, 39.8, 388872, 84571, 11061, 3191, 33434, 15626, 15892, 7483, 90, 41, NA, 560130,  M*
22, 40.8, 36303, 19840, 11727, 6516, 14537, 21804, 4659, 3710, 93, 51, NA, 119096,  M*
23, 42.8, 56232, 50835, 24949, 19647, 7951, 20367, 9946, 7678, 90, 66, NA, 197605,  M*
24, 43.8, 8928, 11055, 17244, 4686, 22299, 19312, 21791, 16203, 97, 80, NA, 121518,  M*
25, 45.8, 121302, 8640, 8339, 7111, 1540, 4904, 3038, 2306, 84, 94, NA, 157180,  M*
26, 46.8, 20311, 13328, 5795, 13310, 18677, 13286, 8277, 1432, 84, 83, NA, 94416,  M*
27, 48.8, 23706, 16669, 3770, 3295, 8681, 29242, 7284, 6228, 87, 66, NA, 98875,  M*
28, 49.8, 6068, 12266, 16047, 6279, 5065, 16115, 10530, 2952, 100, 78, NA, 75322,  M*
29, 51.8, 9639, 20155, 4133, 1473, 17514, 11631, 5597, 3045, 100, 57, NA, 73187,  M*
30, 52.8, 3642, 27827, 2942, 53411, 12642, 11820, 8418, 2167, 70, 88, NA, 122869,  M*
31, 54.8, 9561, 20964, 7226, 32300, 8572, 15852, 7107, 2959, 64, 93, NA, 104541,  M*
32, 57.8, 52576, 42956, 47328, 5305, 17153, 15444, 14106, 13546, 53, 100, NA, 208414,  M*
33, 59.7, 6851, 7384, 21358, 2157, 3973, 34521, 5477, 4554, 63, 90, NA, 86275,  M*
34, 60.7, 8369, 13004, 11357, 14806, 16935, 13934, 11012, 6850, 77, 96, NA, 96267,  M
35, 62.8, 127894, 99780, 9964, 6553, 23871, 31625, 5865, 8775, 84, 74, NA, 314327,  M
36, 63.7, 4128, 30709, 19976, 20243, 13556, 22224, 7442, 5542, 67, 61, NA, 123820,  M
37, 65.7, 10446, 24486, 4747, 16141, 10917, 9824, 8290, 6753, 63, 57, NA, 91604,  M
38, 66.7, 13797, 19161, 2809, 6193, 12264, 26136, 8632, 2022, 74, 78, NA, 91014,  M
39, 68.7, 41474, 128380, 47430, 54790, 74988, 72534, 27724, 15113, 74, 70, NA, 462433,  M
